@T,climate
name,tmax
descr,max temperature

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,C

@H,date,tmax[1]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
,13.10.2009,16.9
,14.10.2009,17.5
,15.10.2009,21.3
,16.10.2009,19.6
,17.10.2009,17.2
,18.10.2009,18.4
,19.10.2009,20.6
,20.10.2009,17.1
,21.10.2009,16.7
,22.10.2009,15.5
,23.10.2009,20.0
,24.10.2009,17.5
,25.10.2009,14.6
,26.10.2009,9.7
,27.10.2009,12.1
,28.10.2009,11.7
,29.10.2009,14.2
,30.10.2009,17.0
,31.10.2009,18.7
,01.11.2009,16.0
,02.11.2009,14.8
,03.11.2009,15.4
,04.11.2009,13.3
,05.11.2009,15.2
,06.11.2009,16.3
,07.11.2009,16.9
,08.11.2009,15.8
,09.11.2009,12.7
,10.11.2009,10.4
,11.11.2009,9.6
,12.11.2009,11.3
,13.11.2009,12.6
,14.11.2009,8.0
,15.11.2009,9.8
,16.11.2009,11.1
,17.11.2009,12.0
,18.11.2009,17.3
,19.11.2009,10.4
,20.11.2009,7.8
,21.11.2009,8.9
,22.11.2009,9.7
,23.11.2009,9.8
,24.11.2009,8.4
,25.11.2009,7.7
,26.11.2009,9.0
,27.11.2009,10.7
,28.11.2009,10.3
,29.11.2009,10.2
,30.11.2009,10.8
,01.12.2009,10.9
,02.12.2009,9.8
,03.12.2009,4.5
,04.12.2009,-0.9
,05.12.2008,-1.0
,06.12.2009,0.3
,07.12.2009,1.1
,08.12.2009,1.4
,09.12.2009,-1.6
,10.12.2009,5.1
,11.12.2009,3.9
,12.12.2009,6.4
,13.12.2009,9.6
,14.12.2009,4.3
,15.12.2009,3.8
,16.12.2009,4.6
,17.12.2009,7.4
,18.12.2009,6.4
,19.12.2009,3.1
,20.12.2009,4.6
,21.12.2009,2.9
,22.12.2009,2.6
,23.12.2009,1.7
,24.12.2009,2.2
,25.12.2009,1.2
,26.12.2009,4.5
,27.12.2009,4.4
,28.12.2009,6.7
,29.12.2009,6.7
,30.12.2009,6.5
,31.12.2009,2.4
,01.01.2010,-0.2
,02.01.2010,3.0
,03.01.2010,6.8
,04.01.2010,4.0
,05.01.2010,4.6
,06.01.2010,3.0
,07.01.2010,2.2
,08.01.2010,4.0
,09.01.2010,6.9
,10.01.2010,4.1
,11.01.2010,3.2
,12.01.2010,4.1
,13.01.2010,6.2
,14.01.2010,6.3
,15.01.2010,7.2
,16.01.2010,7.1
,17.01.2010,8.7
,18.01.2010,11.9
,19.01.2010,11.6
,20.01.2010,7.6
,21.01.2010,10.1
,22.01.2010,8.5
,23.01.2010,7.1
,24.01.2010,8.0
,25.01.2010,11.3
,26.01.2010,9.9
,27.01.2010,5.3
,28.01.2010,6.3
,29.01.2010,8.9
,30.01.2010,6.6
,31.01.2010,2.5
,01.02.2010,1.7
,02.02.2010,1.9
,03.02.2010,3.7
,04.02.2010,5.3
,05.02.2010,1.7
,06.02.2010,0.9
,07.02.2010,0.6
,08.02.2010,-0.7
,09.02.2010,-0.5
,10.02.2010,2.5
,11.02.2010,1.8
,12.02.2010,5.4
,13.02.2010,11.6
,14.02.2010,5.4
,15.02.2010,7.0
,16.02.2010,13.2
,17.02.2010,12.0
,18.02.2010,9.2
,19.02.2010,8.9
,20.02.2010,4.1
,21.02.2010,4.2
,22.02.2010,8.1
,23.02.2010,5.9
,24.02.2010,6.0
,25.02.2010,2.7
,26.02.2010,6.8
,27.02.2010,8.1
,28.02.2010,7.1
,01.03.2010,8.9
,02.03.2010,9.7
,03.03.2010,14.3
,04.03.2010,11.5
,05.03.2010,10.3
,06.03.2010,14.4
,07.03.2010,6.8
,08.03.2010,8.6
,09.03.2010,11.6
,10.03.2010,15.0
,11.03.2010,15.6
,12.03.2010,13.6
,13.03.2010,17.4
,14.03.2010,17.3
,15.03.2010,19.1
,16.03.2010,20.7
,17.03.2010,20.1
,18.03.2010,16.8
,19.03.2010,12.2
,20.03.2010,11.3
,21.03.2010,18.7
,22.03.2010,15.8
,23.03.2010,11.5
,24.03.2010,10.0
,25.03.2010,12.1
,26.03.2010,13.8
,27.03.2010,13.4
,28.03.2010,18.8
,29.03.2010,19.0
,30.03.2010,20.9
,31.03.2010,21.5
,01.04.2010,19.2
,02.04.2010,14.8
,03.04.2010,14.2
,04.04.2010,16.5
,05.04.2010,22.3
,06.04.2010,17.0
,07.04.2010,16.0
,08.04.2010,21.9
,09.04.2010,14.4
,10.04.2010,12.7
,11.04.2010,17.5
,12.04.2010,19.0
,13.04.2010,16.9
,14.04.2010,15.1
,15.04.2010,12.2
,16.04.2010,12.5
,17.04.2010,14.2
,18.04.2010,15.8
,19.04.2010,17.7
,20.04.2010,16.8
,21.04.2010,19.0
,22.04.2010,15.3
,23.04.2010,12.5
,24.04.2010,17.3
,25.04.2010,19.6
,26.04.2010,19.0
,27.04.2010,19.6
,28.04.2010,23.2
,29.04.2010,18.7
,30.04.2010,15.3
,01.05.2010,13.3
,02.05.2010,15.2
,03.05.2010,21.1
,04.05.2010,21.4
,05.05.2010,21.2
,06.05.2010,19.5
,07.05.2010,18.9
,08.05.2010,21.4
,09.05.2010,24.0
,10.05.2010,23.8
,11.05.2010,11.7
,12.05.2010,13.2
,13.05.2010,20.4
,14.05.2010,21.2
,15.05.2010,20.3
,16.05.2010,24.9
,17.05.2010,24.7
,18.05.2010,23.0
,19.05.2010,16.7
,20.05.2010,20.1
,21.05.2010,22.8
,22.05.2010,27.3
,23.05.2010,21.8
,24.05.2010,22.5
,25.05.2010,22.4
,26.05.2010,25.5
,27.05.2010,25.7
,28.05.2010,25.8
,29.05.2010,24.2
,30.05.2010,24.3
,31.05.2010,25.5
,01.06.2010,24.9
,02.06.2010,26.4
,03.06.2010,27.4
,04.06.2010,27.7
,05.06.2010,25.4
,06.06.2010,29.7
,07.06.2010,27.0
,08.06.2010,24.8
,09.06.2010,26.1
,10.06.2010,28.0
,11.06.2010,26.1
,12.06.2010,25.0
,13.06.2010,27.0
,14.06.2010,27.3
,15.06.2010,28.1
,16.06.2010,28.6
,17.06.2010,30.2
,18.06.2010,30.1
,19.06.2010,29.8
,20.06.2010,26.1
,21.06.2010,30.1
,22.06.2010,31.3
,23.06.2010,30.3
,24.06.2010,33.4
,25.06.2010,33.6
,26.06.2010,33.7
,27.06.2010,30.9
,28.06.2010,32.7
,29.06.2010,33.1
,30.06.2010,32.5
,01.07.2010,32.5
,02.07.2010,31.5
,03.07.2010,31.4
,04.07.2010,32.4
,05.07.2010,32.0
,06.07.2010,30.6
,07.07.2010,28.3
,08.07.2010,29.5
,09.07.2010,30.5
,10.07.2010,31.6
,11.07.2010,33.8
,12.07.2010,31.8
,13.07.2010,32.6
,14.07.2010,32.1
,15.07.2010,32.1
,16.07.2010,32.7
,17.07.2010,32.8
,18.07.2010,33.3
,19.07.2010,33.6
,20.07.2010,32.6
,21.07.2010,31.4
,22.07.2010,33.2
,23.07.2010,33.2
,24.07.2010,32.5
,25.07.2010,30.1
,26.07.2010,31.8
,27.07.2010,31.0
,28.07.2010,29.9
,29.07.2010,29.9
,30.07.2010,31.0
,31.07.2010,31.9
,01.08.2010,32.7
,02.08.2010,33.6
,03.08.2010,32.5
,04.08.2010,30.3
,05.08.2010,31.7
,06.08.2010,32.7
,07.08.2010,30.5
,08.08.2010,30.6
,09.08.2010,29.5
,10.08.2010,30.3
,11.08.2010,31.4
,12.08.2010,30.5
,13.08.2010,29.9
,14.08.2010,28.6
,15.08.2010,27.7
,16.08.2010,25.1
,17.08.2010,28.4
,18.08.2010,30.0
,19.08.2010,29.2
,20.08.2010,30.5
,21.08.2010,32.0
,22.08.2010,32.0
,23.08.2010,31.6
,24.08.2010,30.4
,25.08.2010,29.9
,26.08.2010,33.0
,27.08.2010,31.7
,28.08.2010,31.8
,29.08.2010,31.5
,30.08.2010,30.1
,31.08.2010,30.9
,01.09.2010,31.1
,02.09.2010,27.6
,03.09.2010,27.7
,04.09.2010,29.4
,05.09.2010,28.8
,06.09.2010,27.3
,07.09.2010,26.4
,08.09.2010,26.4
,09.09.2010,28.4
,10.09.2010,27.7
,11.09.2010,25.2
,12.09.2010,20.6
,13.09.2010,26.2
,14.09.2010,24.1
,15.09.2010,24.4
,16.09.2010,27.0
,17.09.2010,25.7
,18.09.2010,24.7
,19.09.2010,26.7
,20.09.2010,26.8
,21.09.2010,22.7
,22.09.2010,24.2
,23.09.2010,23.9
,24.09.2010,25.7
,25.09.2010,26.6
,26.09.2010,27.6
,27.09.2010,23.0
,28.09.2010,26.3
,29.09.2010,24.7
