@T,climate,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,
,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,
date_start,01.01.1960,,,,,,,,,,,,,
date_end,04.08.2013,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12]
name,,Artern,Erfurt,Schmuecke,Leinefelde,Eichelborn-ILMS,Geraberg-ILMS,Gossel-ILMS,Kirchheim-ILMS,Oberhof-ILMS,Ohrdruf-ILMS,Riechheim-ILMS,Wandersleben-ILMS,Wipfra-ILMS
ID,,198,1270,4501,2925,1,2,3,4,5,6,7,8,9
elevation,,164,316,937,356,297,481,495,265,753,334,385,268,390
,01.06.1960,2,2.3,2.81589,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.06.1960,2.3,2.3,2.81589,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.06.1960,3,2.7,3.30561,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.06.1960,1.7,2.3,2.81589,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.06.1960,1,1.7,2.08131,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.06.1960,1.3,2.3,2.81589,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.06.1960,2,3,3.6729,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.06.1960,1,1,1.2243,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.06.1960,3.7,3.7,4.52991,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.06.1960,2,3,3.6729,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.06.1960,2.7,4,4.8972,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.06.1960,1.7,3,3.6729,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.06.1960,1,2.7,3.30561,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.06.1960,2,2.3,2.81589,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.06.1960,1.3,2.3,2.81589,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.06.1960,0.7,2,2.4486,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.06.1960,3.7,3.3,4.04019,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.06.1960,0.7,1.7,2.08131,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.06.1960,2.3,2.7,3.30561,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.06.1960,3.7,4,4.8972,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.06.1960,0.3,2,2.4486,1.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.06.1960,1,2,2.4486,0.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
