@T,climate
name,rainfall
desc,measured rainfall

missing_val,-9999
date_start,01.01.1980
date_end,13.08.2013
date_format,dd.MM.yyyy

tres,d
unit,mm

@H,date,Alperstedt,Artern,Arnstadt,Boesleben,Crawinkel,Dachwig,Dienstedt,Dosdorf,Eichelborn-ILMS,Elgersburg,Erfurt (Flugwewa),Erfurt-Egstedt,Erfurt-Frienstedt,Erfurt-Weimar,Finsterbergen,Floh,Frankenhain,Gehlberg,Geraberg-ILMS,Gossel-ILMS,Graefenroda,Graefinau-Angstedt,Herrenhof,Ilmenau,Kirchheim-ILMS,Kleiner Inselsberg,Luisenthal,Luisenthal Talsperre,Martinroda,Moenchenholzhausen,Molschleben,Muehlberg,Oberhof,Oberhof (Forsth. Sattelbach,Oberhof-ILMS,Oberschoenau,Ohrdruf-ILMS,Riechheim-ILMS,Schmuecke (WST),Sondershausen,Stadtilm,Stuetzerbach,Tambach-Dietharz,Tambach-Dietharz (Forsthaus,Tambach-Dietharz (Talsperre,Tuettleben,Waltershausen,Wandersleben-ILMS,Wipfra-ILMS
,22.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,23.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,24.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,25.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,26.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,27.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0.2,-9999,0,-9999,-9999,0,0,0.8,0.3,0,0,0,0,0,-9999,-9999
,28.02.1980,0.3,0,0,0.5,0.4,0.3,0.9,0.4,-9999,0,0.1,0,0.1,-9999,2.7,1,0.3,0,-9999,-9999,0.3,0,0,0,-9999,0.5,0.5,0.9,0,0.4,0,0.2,0,3.1,-9999,0.5,-9999,-9999,0.6,0.2,1.1,0.1,0.5,0.1,0.6,0.9,0.1,-9999,-9999
,29.02.1980,0.5,0.2,0.2,0.4,0.6,0.5,0.1,0.3,-9999,1,0.1,0,0.3,-9999,0.1,2.6,0.2,0.3,-9999,-9999,0.5,0.4,0.6,0.2,-9999,3.1,0.4,0.4,1,0.2,0.2,0.3,0.29,1,-9999,3.4,-9999,-9999,3.1,1.1,0.7,0.6,1.4,1.8,1,0.5,0.6,-9999,-9999
,01.03.1980,0,0,0.1,0,0,0,0,0,-9999,0,0,0,0,-9999,0.3,1.2,0,1.6,-9999,-9999,0.4,0,0,0,-9999,0.7,0.5,0.4,0,0,0.7,0.2,1.57,0,-9999,1,-9999,-9999,1.6,0,0.4,0.5,0.3,0.3,0.4,0.1,0.2,-9999,-9999
,02.03.1980,0.8,0.5,0.2,1.3,3.3,0.3,1.4,1.9,-9999,1.3,1.4,1.3,0.3,-9999,2.8,0.7,2.5,3.5,-9999,-9999,2.8,1.4,0.4,7.8,-9999,3.3,2.5,2.7,1.31,0.5,1.1,0.4,3.44,3.4,-9999,2.4,-9999,-9999,3.5,1.2,2.3,3.2,2.5,1.6,3,0.8,1.6,-9999,-9999
,03.03.1980,2,0.5,0.3,0.6,2.6,0.9,2.5,0.6,-9999,1,0.3,2.2,3,-9999,3.5,1.6,2.5,3.3,-9999,-9999,2.5,1.1,3.8,8.1,-9999,3,2.4,3.3,1,2.5,3.8,0.7,3.24,3.4,-9999,3.8,-9999,-9999,4.5,4.2,2.1,1.2,1.7,0.9,1.5,0.5,2.5,-9999,-9999
,04.03.1980,0,0.2,0.1,0.1,0.2,0.4,0,0.1,-9999,2.8,0,0,0.4,-9999,0.7,1.9,0.2,0.3,-9999,-9999,0.1,0.1,0,7.8,-9999,1.5,0.3,0,2.81,0,0,0,0.29,1.9,-9999,1.9,-9999,-9999,1.3,0.7,9.2,0.3,0.4,0.2,0,0,0,-9999,-9999
,05.03.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,4.2,0,0,0,0,0,0,-9999,-9999
