@T,Climate,,,,,
descr,solar radiation,,,,,
unit,MJ/m2,,,,,
missing_val,-9999,,,,,
date_start,01.01.1990,,,,,
date_end,31.12.2008,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,solrad[1],solrad[2],solrad[3],solrad[4],solrad[5]
name,,waterloo,ame,ass,blg,cme
ID,,1,2,3,4,5
elevation,,287,276,275,266,273
,26.11.1990,6.82,-9999,-9999,-9999,-9999
,27.11.1990,4.48,-9999,-9999,-9999,-9999
,28.11.1990,7.2,-9999,-9999,-9999,-9999
,29.11.1990,8.95,-9999,-9999,-9999,-9999
,30.11.1990,5.02,-9999,-9999,-9999,-9999
,01.12.1990,3.81,-9999,-9999,-9999,-9999
,02.12.1990,3.31,-9999,-9999,-9999,-9999
,03.12.1990,3.22,-9999,-9999,-9999,-9999
,04.12.1990,3.14,-9999,-9999,-9999,-9999
,05.12.1990,6.11,-9999,-9999,-9999,-9999
,06.12.1990,5.02,-9999,-9999,-9999,-9999
,07.12.1990,4.27,-9999,-9999,-9999,-9999
,08.12.1990,5.65,-9999,-9999,-9999,-9999
,09.12.1990,0.71,-9999,-9999,-9999,-9999
,10.12.1990,2.89,-9999,-9999,-9999,-9999
,11.12.1990,4.85,-9999,-9999,-9999,-9999
,12.12.1990,5.36,-9999,-9999,-9999,-9999
,13.12.1990,4.85,-9999,-9999,-9999,-9999
,14.12.1990,3.81,-9999,-9999,-9999,-9999
,15.12.1990,5.69,-9999,-9999,-9999,-9999
,16.12.1990,3.6,-9999,-9999,-9999,-9999
,17.12.1990,5.06,-9999,-9999,-9999,-9999
,18.12.1990,6.44,-9999,-9999,-9999,-9999
,19.12.1990,4.52,-9999,-9999,-9999,-9999
,20.12.1990,4.14,-9999,-9999,-9999,-9999
,21.12.1990,3.18,-9999,-9999,-9999,-9999
,22.12.1990,3.39,-9999,-9999,-9999,-9999
,23.12.1990,5.06,-9999,-9999,-9999,-9999
,24.12.1990,3.89,-9999,-9999,-9999,-9999
,25.12.1990,4.48,-9999,-9999,-9999,-9999
,26.12.1990,6.65,-9999,-9999,-9999,-9999
,27.12.1990,4.31,-9999,-9999,-9999,-9999
,28.12.1990,6.15,-9999,-9999,-9999,-9999
,29.12.1990,4.52,-9999,-9999,-9999,-9999
,30.12.1990,4.85,-9999,-9999,-9999,-9999
,31.12.1990,4.81,-9999,-9999,-9999,-9999
,01.01.1991,7.28,-9999,-9999,-9999,-9999
,02.01.1991,4.94,-9999,-9999,-9999,-9999
,03.01.1991,3.64,-9999,-9999,-9999,-9999
,04.01.1991,4.31,-9999,-9999,-9999,-9999
,05.01.1991,4.35,-9999,-9999,-9999,-9999
,06.01.1991,3.39,-9999,-9999,-9999,-9999
,07.01.1991,6.28,-9999,-9999,-9999,-9999
,08.01.1991,4.56,-9999,-9999,-9999,-9999
,09.01.1991,6.57,-9999,-9999,-9999,-9999
,10.01.1991,7.57,-9999,-9999,-9999,-9999
,11.01.1991,5.06,-9999,-9999,-9999,-9999
,12.01.1991,4.94,-9999,-9999,-9999,-9999
,13.01.1991,5.52,-9999,-9999,-9999,-9999
,14.01.1991,5.48,-9999,-9999,-9999,-9999
,15.01.1991,4.31,-9999,-9999,-9999,-9999
,16.01.1991,3.89,-9999,-9999,-9999,-9999
,17.01.1991,5.44,-9999,-9999,-9999,-9999
,18.01.1991,6.9,-9999,-9999,-9999,-9999
,19.01.1991,6.07,-9999,-9999,-9999,-9999
,20.01.1991,4.23,-9999,-9999,-9999,-9999
,21.01.1991,5.44,-9999,-9999,-9999,-9999
,22.01.1991,4.73,-9999,-9999,-9999,-9999
,23.01.1991,3.31,-9999,-9999,-9999,-9999
,24.01.1991,5.4,-9999,-9999,-9999,-9999
,25.01.1991,5.9,-9999,-9999,-9999,-9999
,26.01.1991,4.52,-9999,-9999,-9999,-9999
,27.01.1991,5.94,-9999,-9999,-9999,-9999
,28.01.1991,6.15,-9999,-9999,-9999,-9999
,29.01.1991,9.33,-9999,-9999,-9999,-9999
,30.01.1991,1.51,-9999,-9999,-9999,-9999
,31.01.1991,7.57,-9999,-9999,-9999,-9999
,01.02.1991,6.82,-9999,-9999,-9999,-9999
,02.02.1991,6.49,-9999,-9999,-9999,-9999
,03.02.1991,6.44,-9999,-9999,-9999,-9999
,04.02.1991,11.25,-9999,-9999,-9999,-9999
,05.02.1991,12.13,-9999,-9999,-9999,-9999
,06.02.1991,7.99,-9999,-9999,-9999,-9999
,07.02.1991,7.7,-9999,-9999,-9999,-9999
,08.02.1991,9.79,-9999,-9999,-9999,-9999
,09.02.1991,9.04,-9999,-9999,-9999,-9999
,10.02.1991,3.93,-9999,-9999,-9999,-9999
,11.02.1991,10.75,-9999,-9999,-9999,-9999
,12.02.1991,7.87,-9999,-9999,-9999,-9999
,13.02.1991,8.62,-9999,-9999,-9999,-9999
,14.02.1991,9.62,-9999,-9999,-9999,-9999
,15.02.1991,7.57,-9999,-9999,-9999,-9999
,16.02.1991,8.2,-9999,-9999,-9999,-9999
,17.02.1991,7.2,-9999,-9999,-9999,-9999
,18.02.1991,5.1,-9999,-9999,-9999,-9999
,19.02.1991,9.16,-9999,-9999,-9999,-9999
,20.02.1991,8.74,-9999,-9999,-9999,-9999
,21.02.1991,9.25,-9999,-9999,-9999,-9999
,22.02.1991,8.49,-9999,-9999,-9999,-9999
,23.02.1991,6.4,-9999,-9999,-9999,-9999
,24.02.1991,10.08,-9999,-9999,-9999,-9999
,25.02.1991,7.61,-9999,-9999,-9999,-9999
,26.02.1991,8.28,-9999,-9999,-9999,-9999
,27.02.1991,10.59,-9999,-9999,-9999,-9999
,28.02.1991,5.02,-9999,-9999,-9999,-9999
,01.03.1991,10.13,-9999,-9999,-9999,-9999
,02.03.1991,13.14,-9999,-9999,-9999,-9999
,03.03.1991,14.52,-9999,-9999,-9999,-9999
,04.03.1991,5.61,-9999,-9999,-9999,-9999
,05.03.1991,9.08,-9999,-9999,-9999,-9999
,06.03.1991,16.23,-9999,-9999,-9999,-9999
,07.03.1991,17.28,-9999,-9999,-9999,-9999
,08.03.1991,14.02,-9999,-9999,-9999,-9999
,09.03.1991,10.75,-9999,-9999,-9999,-9999
,10.03.1991,9.16,-9999,-9999,-9999,-9999
,11.03.1991,13.43,-9999,-9999,-9999,-9999
,12.03.1991,14.23,-9999,-9999,-9999,-9999
,13.03.1991,8.24,-9999,-9999,-9999,-9999
,14.03.1991,13.22,-9999,-9999,-9999,-9999
,15.03.1991,14.73,-9999,-9999,-9999,-9999
,16.03.1991,12.76,-9999,-9999,-9999,-9999
,17.03.1991,11.17,-9999,-9999,-9999,-9999
,18.03.1991,12.64,-9999,-9999,-9999,-9999
,19.03.1991,14.31,-9999,-9999,-9999,-9999
,20.03.1991,17.82,-9999,-9999,-9999,-9999
,21.03.1991,11.59,-9999,-9999,-9999,-9999
,22.03.1991,15.86,-9999,-9999,-9999,-9999
,23.03.1991,8.03,-9999,-9999,-9999,-9999
,24.03.1991,14.27,-9999,-9999,-9999,-9999
,25.03.1991,13.6,-9999,-9999,-9999,-9999
,26.03.1991,14.77,-9999,-9999,-9999,-9999
,27.03.1991,12.97,-9999,-9999,-9999,-9999
,28.03.1991,11.67,-9999,-9999,-9999,-9999
,29.03.1991,9.54,-9999,-9999,-9999,-9999
,30.03.1991,11.55,-9999,-9999,-9999,-9999
,31.03.1991,10.21,-9999,-9999,-9999,-9999
,01.04.1991,13.05,-9999,-9999,-9999,-9999
,02.04.1991,9.92,-9999,-9999,-9999,-9999
,03.04.1991,17.11,-9999,-9999,-9999,-9999
,04.04.1991,8.66,-9999,-9999,-9999,-9999
,05.04.1991,17.66,-9999,-9999,-9999,-9999
,06.04.1991,10.59,-9999,-9999,-9999,-9999
,07.04.1991,18.79,-9999,-9999,-9999,-9999
,08.04.1991,24.14,-9999,-9999,-9999,-9999
