@T,hrus ,,,,,,,,,,,,,,
descr,hrus.csv ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool,tiledrainage
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,9999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999,1
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t,n/a
,292,666544,4593234,289,747000,2,1.1,206.7546,0,2,82,1,75,0,0
,293,668179,4593467,293,52200,2,1.8,294.1883,0,10,82,1,52.1725,0,0
,294,669784,4593583,284,107100,2,1.6,70.5686,0,10,82,1,238.514,0,0
,295,652354,4593704,315,53100,2,2.8,336.2544,0,2,82,1,51.6171,0,0
,296,652039,4593129,311,324000,2,1.6,208.1604,0,2,41,1,10,0,0
,297,660349,4593227,293,306900,2,1.2,162.9511,0,2,81,1,93.4646,0,0
,298,661324,4593411,288,63000,2,1.5,204.996,0,2,81,1,25,0,0
,299,662824,4593674,280,7200,3,0.5,144.3359,0,10,82,1,47.2155,0,0
,300,649579,4593433,316,96300,2,2.5,111.5116,0,2,81,1,73.8236,0,0
,301,653434,4593275,309,385200,2,1.5,117.5708,0,2,82,1,41.2683,0,0
,302,670894,4593487,277,205200,2,0.9,115.4676,0,2,82,1,21.8701,0,0
,303,662539,4593118,284,536400,3,1.1,339.4781,0,10,82,1,22.8261,0,0
,304,671824,4593329,274,1245600,3,0.6,296.3,0,11,82,1,25,0,0
