@T,Climate,,,,,,,,,
descr,relative humidity,,,,,,,,,
unit,%,,,,,,,,,
missing_val,-9999,,,,,,,,,
date_start,01.01.1990,,,,,,,,,
date_end,30.06.2012,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,
,,,,,,,,,,
@H,date,rehum[1],rehum[2],rehum[3],rehum[4],rehum[5],rehum[6],rehum[7],rehum[8],rehum[9]
name,,ad,alg,ame,as1,as2,axl,blg,cme,d14
ID,,ad,alg,ame,as1,as2,axl,blg,cme,d14
elevation,,289,272,276,278,273,266,265,270,294
x,,667713,670478,673154,669101,669649,666717,666826,660768,661139
y,,4592666,4590999,4595188,4591404,4591124,4586416,4584121,4588357,4593315
,02.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.09.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
