@T, Parameter,,,,,,,,,,,,
desc,routing.csv,,,,,,,,,,,,
,,,,,,,,,,,,,
@H, from, to, weight,,,,,,,,,,
,514,553,1,,,,,,,,,,
,515,493,1,,,,,,,,,,
,516,531,1,,,,,,,,,,
,517,378,1,,,,,,,,,,
,518,517,1,,,,,,,,,,
,519,511,1,,,,,,,,,,
,520,436,0.00991,454,0.99009,,,,,,,,
,521,425,1,,,,,,,,,,
,522,521,1,,,,,,,,,,
,523,-25,0.9983,-29,0.0017,,,,,,,,
,524,492,1,,,,,,,,,,
,525,551,1,,,,,,,,,,
,526,565,1,,,,,,,,,,
,527,526,1,,,,,,,,,,
,528,544,1,,,,,,,,,,
,529,538,1,,,,,,,,,,
,530,556,1,,,,,,,,,,
,531,557,1,,,,,,,,,,
,532,517,0.42017,481,0.57983,,,,,,,,
,533,442,1,,,,,,,,,,
,534,533,0.01923,476,0.98077,,,,,,,,
,535,-30,0.00602,-23,0.99398,,,,,,,,
,536,-32,1,,,,,,,,,,
,537,553,0.00604,462,0.06042,-13,0.93353,,,,,,
,538,505,1,,,,,,,,,,
,539,590,1,,,,,,,,,,
,540,-25,0.00408,-24,0.99592,,,,,,,,
,541,531,1,,,,,,,,,,
,542,481,1,,,,,,,,,,
,543,511,1,,,,,,,,,,
,544,512,1,,,,,,,,,,
,545,477,1,,,,,,,,,,
,546,554,0.99108,573,0.00892,,,,,,,,
,547,588,1,,,,,,,,,,
,548,575,1,,,,,,,,,,
,549,-26,0.99912,-39,0.00088,,,,,,,,
,550,606,0.22739,607,0.00913,-20,0.76349,,,,,,
,551,467,1,,,,,,,,,,
,552,536,0.48864,631,0.36932,780,0.07955,-32,0.0625,,,,
,553,-13,1,,,,,,,,,,
,554,593,1,,,,,,,,,,
,555,569,0.85106,589,0.14894,,,,,,,,
,556,502,1,,,,,,,,,,
,557,550,1,,,,,,,,,,
,558,559,1,,,,,,,,,,
,559,517,1,,,,,,,,,,
,560,454,1,,,,,,,,,,
,561,522,0.85714,578,0.14286,,,,,,,,
,562,642,1,,,,,,,,,,
,563,558,0.41379,559,0.58621,,,,,,,,
,564,595,1,,,,,,,,,,
,565,570,1,,,,,,,,,,
,566,580,1,,,,,,,,,,
,567,546,1,,,,,,,,,,
,568,547,0.91304,588,0.08696,,,,,,,,
,569,542,1,,,,,,,,,,
,570,536,1,,,,,,,,,,
,571,425,1,,,,,,,,,,
,572,587,1,,,,,,,,,,
,573,554,1,,,,,,,,,,
,574,594,1,,,,,,,,,,
,575,-33,0.99961,-39,0.00039,,,,,,,,
,576,-17,0.99778,-30,0.00222,,,,,,,,
,577,861,0.03203,-44,0.0002,-30,0.96777,,,,,,
,578,521,1,,,,,,,,,,
,579,545,1,,,,,,,,,,
,580,624,1,,,,,,,,,,
,581,345,0.34266,450,0.65734,,,,,,,,
,582,599,1,,,,,,,,,,
,583,589,1,,,,,,,,,,
,584,442,1,,,,,,,,,,
,585,521,0.22549,571,0.77451,,,,,,,,
,586,553,0.03676,-13,0.96324,,,,,,,,
,587,610,1,,,,,,,,,,
,588,594,1,,,,,,,,,,
,589,569,1,,,,,,,,,,
,590,630,1,,,,,,,,,,
,591,580,1,,,,,,,,,,
,592,554,1,,,,,,,,,,
,593,-24,0.00056,-27,0.99944,,,,,,,,
,594,575,1,,,,,,,,,,
,595,511,1,,,,,,,,,,
,596,635,1,,,,,,,,,,
,597,536,0.93939,570,0.06061,,,,,,,,
,598,-20,0.97826,-26,0.02174,,,,,,,,
,599,550,0.02745,-20,0.97255,,,,,,,,
,600,577,1,,,,,,,,,,
,601,577,1,,,,,,,,,,
,602,454,1,,,,,,,,,,
,603,570,1,,,,,,,,,,
,604,571,0.01149,425,0.72414,638,0.12644,585,0.13793,,,,
,605,653,1,,,,,,,,,,
,606,-20,1,,,,,,,,,,
,607,-20,1,,,,,,,,,,
,608,618,0.91304,511,0.08696,,,,,,,,
,609,521,1,,,,,,,,,,
,610,657,0.42929,553,0.42424,-13,0.14646,,,,,,
,611,626,1,,,,,,,,,,
,612,635,0.70588,608,0.29412,,,,,,,,
,613,544,1,,,,,,,,,,
,614,580,1,,,,,,,,,,
,615,581,1,,,,,,,,,,
,616,550,0.03175,606,0.96825,,,,,,,,
,617,481,1,,,,,,,,,,
,618,-31,1,,,,,,,,,,
,619,603,1,,,,,,,,,,
,620,599,1,,,,,,,,,,
,621,620,1,,,,,,,,,,
,622,779,1,,,,,,,,,,
,623,637,1,,,,,,,,,,
,624,586,1,,,,,,,,,,
,625,658,0.77041,-24,0.0051,-28,0.22449,,,,,,
,626,632,1,,,,,,,,,,
,627,698,0.0452,699,0.9548,,,,,,,,
,628,511,1,,,,,,,,,,
,629,618,0.00366,708,0.16117,-31,0.83516,,,,,,
,630,600,1,,,,,,,,,,
,631,780,1,,,,,,,,,,
,632,549,1,,,,,,,,,,
,633,634,1,,,,,,,,,,
,634,511,0.01,628,0.99,,,,,,,,
,635,636,1,,,,,,,,,,
,636,629,1,,,,,,,,,,
,637,577,0.70857,601,0.29143,,,,,,,,
,638,585,0.40329,521,0.59671,,,,,,,,
,639,614,1,,,,,,,,,,
,640,657,1,,,,,,,,,,
,641,554,0.60317,593,0.33333,-27,0.06349,,,,,,
,642,605,1,,,,,,,,,,
,643,481,1,,,,,,,,,,
,644,649,1,,,,,,,,,,
,645,536,1,,,,,,,,,,
,646,425,1,,,,,,,,,,
,647,624,1,,,,,,,,,,
,648,663,1,,,,,,,,,,
,649,-29,1,,,,,,,,,,
,650,667,1,,,,,,,,,,
,651,721,1,,,,,,,,,,
,652,653,0.34177,682,0.65823,,,,,,,,
,653,721,1,,,,,,,,,,
,654,490,1,,,,,,,,,,
,655,637,1,,,,,,,,,,
,656,676,1,,,,,,,,,,
,657,-13,1,,,,,,,,,,
,658,-28,1,,,,,,,,,,
,659,891,1,,,,,,,,,,
,660,631,1,,,,,,,,,,
,661,521,1,,,,,,,,,,
,662,671,1,,,,,,,,,,
,663,657,0.0789,-28,0.00161,-13,0.91948,,,,,,
,664,625,0.00543,658,0.99457,,,,,,,,
,665,717,0.11009,722,0.01835,705,0.63303,745,0.23853,,,,
,666,791,1,,,,,,,,,,
,667,666,1,,,,,,,,,,
,668,697,1,,,,,,,,,,
,669,651,1,,,,,,,,,,
,670,617,1,,,,,,,,,,
,671,677,1,,,,,,,,,,
,672,695,1,,,,,,,,,,
,673,711,1,,,,,,,,,,
,674,622,1,,,,,,,,,,
,675,618,0.42384,708,0.49007,629,0.03311,-31,0.05298,,,,
,676,687,0.96203,645,0.03797,,,,,,,,
,677,695,1,,,,,,,,,,
,678,549,1,,,,,,,,,,
,679,617,1,,,,,,,,,,
,680,670,1,,,,,,,,,,
,681,727,1,,,,,,,,,,
,682,721,1,,,,,,,,,,
,683,909,0.78261,934,0.21739,,,,,,,,
,684,714,1,,,,,,,,,,
,685,714,1,,,,,,,,,,
,686,577,1,,,,,,,,,,
,687,645,0.1374,751,0.8626,,,,,,,,
,688,638,1,,,,,,,,,,
