date,AirT,Iprec,Swglob,RH
03/10/2002,5.27,5.8,72.65883333,89.49
04/10/2002,9.54,0,197.5516667,63.95
05/10/2002,11.21,0,201.1391667,55.22
06/10/2002,8.47,0,168.7320833,69.51
07/10/2002,12.35,0.2,229.1455833,55.03
08/10/2002,13.17,0,222.0901667,51.25
09/10/2002,11.72,0,214.3650833,66.69
10/10/2002,15.41,0,207.6445,31.15
11/10/2002,15.41,0,225.4385,34.38
12/10/2002,3.83,0,214.6281667,69.93
13/10/2002,8.04,0,221.49225,50.65
14/10/2002,8.68,0,217.04375,36.11
15/10/2002,6.62,0,215.03475,40.78
16/10/2002,6.63,0,129.5326667,44.46
17/10/2002,7.59,0,207.28575,43.47
18/10/2002,11.25,0,211.1124167,29.48
19/10/2002,7.93,0,207.0944167,50.29
20/10/2002,10.78,0,183.17775,25.61
21/10/2002,6.58,0,197.7190833,57.03
22/10/2002,-0.53,0,70.21933333,90.59
23/10/2002,-4.08,0,32.21575,99
24/10/2002,-2.97,0,40.13216667,99
25/10/2002,3.49,0.6,178.15525,76.23
26/10/2002,5.71,0,169.2343333,71.07
27/10/2002,4.86,2.2,96.55158333,95.77
28/10/2002,5.37,0.6,145.222,76.68
29/10/2002,-3.66,0,70.72158333,96.24
30/10/2002,-8.96,0,89.257,93.33
31/10/2002,-9.53,0,84.30625,99
01/11/2002,-8.6,3.2,91.86391667,99
02/11/2002,-5.11,1,132.307,98.93
03/11/2002,-4.38,1.4,190.9745833,76.48
04/11/2002,-2.88,0,79.83383333,76.35
05/11/2002,1.8,0.2,182.02975,65.93
06/11/2002,4.07,0,173.8741667,65.62
07/11/2002,6.61,0,63.45091667,50.19
08/11/2002,9.55,0.2,103.4156667,50.79
09/11/2002,6.57,0,84.71283333,58.28
10/11/2002,5.08,0,97.38866667,41.61
11/11/2002,1.52,0,74.26125,58.73
12/11/2002,1.93,0,165.4315833,54.44
13/11/2002,6.67,0.8,72.06091667,55.55
14/11/2002,3.74,0,109.9449167,74.97
15/11/2002,2.22,0,100.66525,65.98
16/11/2002,3.67,0.2,149.2639167,56.88
17/11/2002,8.31,0,125.3950833,31.36
18/11/2002,4.54,0,135.5835833,45.79
19/11/2002,7.85,0,152.5644167,33.03
20/11/2002,7.94,0,147.6136667,48.96
21/11/2002,9.27,0,145.9873333,55.29
22/11/2002,9.97,0,148.3550833,45.18
23/11/2002,2.82,0,109.6818333,69.95
24/11/2002,-5.42,0,62.37466667,96.23
25/11/2002,-6.43,1,145.00675,90.15
26/11/2002,-9.05,0,152.9470833,88.08
27/11/2002,-0.95,0.6,117.6460833,73.4
28/11/2002,3.67,0.2,139.0515,66.85
29/11/2002,5.58,0,138.40575,61.48
30/11/2002,0.52,0,118.2679167,67.43
01/12/2002,5,0,99.70858333,61.22
02/12/2002,5.66,0,138.5014167,60.53
03/12/2002,-2,0,29.60883333,97.83
04/12/2002,-1.76,0,23.821,98.3
05/12/2002,0.82,0,132.6179167,83.04
06/12/2002,1.31,0.2,136.25325,58.88
07/12/2002,1.17,0,95.4275,61.28
08/12/2002,-0.29,0,121.2575,69.94
09/12/2002,1.92,0,132.7135833,57.95
10/12/2002,3.77,0,134.3638333,32.76
11/12/2002,3.36,0,113.9150833,42.52
12/12/2002,-0.89,0,123.5295833,52.82
13/12/2002,3.95,0,128.64775,42.83
14/12/2002,4.61,0,129.7479167,46.27
15/12/2002,5.64,0,53.07108333,47.93
16/12/2002,2.19,0,107.7685,51.17
17/12/2002,4.16,0,66.99058333,54.37
18/12/2002,-0.89,0,87.75025,73.01
19/12/2002,-2.85,0,123.0273333,46.16
20/12/2002,-3.28,0,115.1109167,48.61
21/12/2002,-1.12,0,81.9385,56.89
22/12/2002,-3.01,0,123.3860833,67.16
23/12/2002,-5.92,0,97.26908333,74.42
24/12/2002,-7.06,0,107.8880833,84.73
25/12/2002,-6.26,0,128.0498333,71.2
26/12/2002,-5.87,0,131.6851667,52.66
27/12/2002,2.74,0,77.75308333,39.78
28/12/2002,5,0,32.55058333,46.98
29/12/2002,6.38,0,79.76208333,36.7
30/12/2002,1.38,0,131.7569167,37.73
