@T,D1D2,,,,
descr,average observed soil water content at probe D1 D2 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583.5,,,
x,,513610.5,,,
y,,4494889.5,,,
,02.06.2003,0.368505294,0.380749296,0.310934311,0.249666149
,03.06.2003,0.3655737,0.379568053,0.310016198,0.250691412
,04.06.2003,0.361593335,0.378218433,0.309120652,0.251478275
,05.06.2003,0.357620943,0.375702837,0.307976282,0.252135889
,06.06.2003,0.355844111,0.373283216,0.306435306,0.2525951
,07.06.2003,0.355097738,0.371596998,0.304884499,0.252874027
,08.06.2003,0.356404457,0.370509428,0.303419376,0.252976901
,09.06.2003,0.359326978,0.371393558,0.302345033,0.252939454
,10.06.2003,0.358793118,0.372731781,0.301955127,0.252846937
,11.06.2003,0.359452758,0.374295742,0.301858507,0.25282486
,12.06.2003,0.358708415,0.375971237,0.302111467,0.252868569
,13.06.2003,0.357669671,0.377249558,0.302505839,0.253028327
,14.06.2003,0.356503633,0.378131885,0.302915184,0.253285107
,15.06.2003,0.356104231,0.379162499,0.303329592,0.25357431
,16.06.2003,0.355949698,0.380537662,0.303882219,0.253888363
,17.06.2003,0.354689823,0.381703144,0.304577733,0.254229584
,18.06.2003,0.352295563,0.38207626,0.305175432,0.254641279
,19.06.2003,0.350250657,0.3817098,0.305482068,0.255096413
,20.06.2003,0.349930176,0.381669177,0.305820065,0.255423621
,21.06.2003,0.349216774,0.381700042,0.30610766,0.255747219
,22.06.2003,0.348936031,0.382173712,0.306301919,0.256094427
,23.06.2003,0.34814454,0.382761175,0.306637616,0.256403481
,24.06.2003,0.34565854,0.38282252,0.30699092,0.256730061
,25.06.2003,0.341624377,0.381275156,0.306974194,0.257109024
,26.06.2003,0.34119115,0.379804221,0.306423492,0.257428047
,27.06.2003,0.342450113,0.379858825,0.306004881,0.2576089
,28.06.2003,0.34383461,0.380947617,0.306082659,0.257742741
,29.06.2003,0.343572606,0.382223956,0.306595612,0.257893471
,30.06.2003,0.342529248,0.382325316,0.307108149,0.258120184
,01.07.2003,0.34386748,0.383043806,0.307467331,0.258401073
,02.07.2003,0.345059608,0.384414278,0.308069625,0.258735125
,03.07.2003,0.345872327,0.385870086,0.30896185,0.259104437
