@T,B1B2B3,,,,
descr,average observed soil water content at probe B1 B2 B3 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,03.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1568.666667,,,
x,,513721.3333,,,
y,,4495332.667,,,
,24.07.2011,0.261988662,0.309796915,0.241975675,0.294207758
,25.07.2011,0.261082529,0.310035142,0.241625983,0.294382757
,26.07.2011,0.260176079,0.309714018,0.24131206,0.294578048
,27.07.2011,0.259473347,0.309208332,0.241067994,0.294807487
,28.07.2011,0.25882488,0.308869654,0.24059794,0.295419918
,29.07.2011,0.258104828,0.30834413,0.239987089,0.295916298
,30.07.2011,0.258184481,0.308292214,0.238820097,0.29598354
,31.07.2011,0.258489495,0.308810143,0.237896603,0.295954771
,01.08.2011,0.258768777,0.309593856,0.237660005,0.295913896
,02.08.2011,0.258086962,0.310093916,0.238059901,0.295958173
,03.08.2011,0.257505191,0.310027017,0.238455589,0.295994462
,04.08.2011,0.256575088,0.309787882,0.238894328,0.295924346
,05.08.2011,0.256230917,0.309105118,0.239618271,0.296198558
,06.08.2011,0.256933621,0.309142938,0.240225933,0.296420566
,07.08.2011,0.257327435,0.309371856,0.240890887,0.296935013
,08.08.2011,0.257572669,0.309710454,0.241567499,0.297330839
,09.08.2011,0.256713976,0.309628122,0.242279739,0.297594603
,10.08.2011,0.256616213,0.30931138,0.242753295,0.300139109
,11.08.2011,0.256284002,0.309092989,0.243118708,0.300967511
,12.08.2011,0.256108115,0.309105923,0.243330082,0.3011002
,13.08.2011,0.255353333,0.309308433,0.243673905,0.300929096
,14.08.2011,0.255295697,0.309112762,0.244034026,0.301133003
,15.08.2011,0.25478397,0.308913802,0.244298218,0.301386109
,16.08.2011,0.254946822,0.308896128,0.244468825,0.301581625
,17.08.2011,0.253093102,0.308282663,0.244667414,0.30178947
,18.08.2011,0.253271461,0.307358341,0.244446043,0.302010317
,19.08.2011,0.253365391,0.307441025,0.244447041,0.307845828
,20.08.2011,0.252152964,0.306766758,0.244639181,0.318011904
,21.08.2011,0.253029857,0.3064809,0.244470753,0.317723433
,22.08.2011,0.253437334,0.306813798,0.24452761,0.317453466
,23.08.2011,0.253591824,0.307006433,0.244622987,0.316860808
,24.08.2011,0.254288478,0.307544931,0.24475595,0.316165281
,25.08.2011,0.254556928,0.30812873,0.245065804,0.315127912
,26.08.2011,0.25527284,0.308731161,0.245443034,0.313745209
,27.08.2011,0.255139473,0.309162008,0.245919957,0.312738571
,28.08.2011,0.255394907,0.309453339,0.246360014,0.311752585
,29.08.2011,0.25407784,0.309206256,0.247134793,0.310754915
,30.08.2011,0.253097177,0.308263058,0.247671679,0.309466068
,31.08.2011,0.252903083,0.307461056,0.247777063,0.308004313
,01.09.2011,0.253193236,0.307142308,0.247926144,0.30698462
