@T,C1C2C3,,,,
descr,average observed soil water content at probe C1 C2 C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584.333333,,,
x,,513547,,,
y,,4494896.333,,,
,23.07.2003,0.333072043,0.305635368,0.24419424,0.19085414
,24.07.2003,0.333173965,0.305581993,0.244386717,0.191103241
,25.07.2003,0.333732375,0.305764201,0.244647897,0.191409415
,26.07.2003,0.333701307,0.306035343,0.245072926,0.191760512
,27.07.2003,0.333852883,0.306204154,0.245471816,0.19219039
,28.07.2003,0.33347761,0.306298714,0.245868527,0.19264486
,29.07.2003,0.332304266,0.305965226,0.246144488,0.193130058
,30.07.2003,0.33089493,0.305085139,0.246142816,0.193528068
,31.07.2003,0.330269047,0.304307643,0.245872855,0.193779434
,01.08.2003,0.329140802,0.303432434,0.245556221,0.193934421
,02.08.2003,0.328840854,0.302720546,0.245157785,0.194024868
,03.08.2003,0.329545739,0.302527862,0.244858127,0.194102607
,04.08.2003,0.329471782,0.302565898,0.244816463,0.194236612
,05.08.2003,0.329598866,0.302508819,0.244834228,0.194481245
,06.08.2003,0.330078779,0.302688279,0.244900425,0.194774335
,07.08.2003,0.330383108,0.303020028,0.245116253,0.195162663
,08.08.2003,0.329212817,0.302901319,0.245354668,0.195678069
,09.08.2003,0.328963573,0.302515608,0.245345736,0.19616617
,10.08.2003,0.329008387,0.302384956,0.245296403,0.196544233
,11.08.2003,0.329370952,0.302482953,0.245325544,0.196928424
,12.08.2003,0.329229999,0.302573877,0.245440679,0.197347059
,13.08.2003,0.328908239,0.302488513,0.245543824,0.197821227
,14.08.2003,0.328147308,0.302223746,0.245560765,0.19827413
,15.08.2003,0.327478879,0.301809438,0.245649037,0.198677487
,16.08.2003,0.327033769,0.301331019,0.245442259,0.199031165
,17.08.2003,0.326805344,0.301056495,0.245225707,0.199336894
,18.08.2003,0.325762397,0.300573035,0.24504681,0.199644041
,19.08.2003,0.32317114,0.299388321,0.244685998,0.199922948
,20.08.2003,0.32333421,0.298226781,0.243939829,0.20002678
,21.08.2003,0.324129742,0.298159431,0.243433828,0.200024537
,22.08.2003,0.324419087,0.298254834,0.243261707,0.200139806
,23.08.2003,0.324714409,0.29846817,0.243223815,0.2003809
,24.08.2003,0.324052186,0.298423111,0.243268604,0.200708978
,25.08.2003,0.322049223,0.297648203,0.243146134,0.201052292
,26.08.2003,0.321464026,0.296596079,0.242656985,0.201267416
,27.08.2003,0.322207887,0.296438489,0.24223621,0.201345579
,28.08.2003,0.322555137,0.296532416,0.242153359,0.201474467
,29.08.2003,0.321951862,0.296629808,0.242135174,0.201727527
,30.08.2003,0.318495306,0.295468633,0.241955307,0.202011805
,31.08.2003,0.314647109,0.292748484,0.241070742,0.202088069
,01.09.2003,0.314347551,0.290470783,0.239604953,0.201723966
