@T,climate,,,,,,,
name,rhum.csv,,,,,,,
descr,relative humidity,,,,,,,
,,,,,,,,
missing_val,-9999,,,,,,,
date_start,01.01.1980,,,,,,,
date_end,30.04.2015,,,,,,,
date_format,dd.MM.yyyy,,,,,,,
,,,,,,,,
unit,%,,,,,,,
tres,d,,,,,,,
,,,,,,,,
@H,date,rehum[0],rehum[2],rehum[3],rehum[4],rhum[5],rhum[6],rhum[7]
name,-,IASF901,Cedar Rapids-A131329,WATERLOO MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,Ames-Airport,ESTHERVILLE MUNICIPAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US
ID,-,1,3,4,5,6,7,8
elevation,-,347.81,240,268,296.9,280,401.4,367
,13.06.1980,-9999,-9999,71.98,-9999,-9999,-9999,64.59
,14.06.1980,-9999,-9999,83.72,-9999,-9999,-9999,71.25
,15.06.1980,-9999,-9999,88.13,-9999,-9999,-9999,76.5
,16.06.1980,-9999,-9999,77.22,-9999,-9999,-9999,60.48
,17.06.1980,-9999,-9999,72.63,-9999,-9999,-9999,59.6
,18.06.1980,-9999,-9999,76.79,-9999,-9999,-9999,65.16
,19.06.1980,-9999,-9999,73.11,-9999,-9999,-9999,64.75
,20.06.1980,-9999,-9999,66.71,-9999,-9999,-9999,53.57
,21.06.1980,-9999,-9999,63.54,-9999,-9999,-9999,52.07
,22.06.1980,-9999,-9999,72.71,-9999,-9999,-9999,63.34
,23.06.1980,-9999,-9999,77.74,-9999,-9999,-9999,68.68
,24.06.1980,-9999,-9999,79.26,-9999,-9999,-9999,69.6
,25.06.1980,-9999,-9999,80.82,-9999,-9999,-9999,66.22
,26.06.1980,-9999,-9999,75.89,-9999,-9999,-9999,62.75
,27.06.1980,-9999,-9999,72.74,-9999,-9999,-9999,65.86
,28.06.1980,-9999,-9999,66.95,-9999,-9999,-9999,52.08
,29.06.1980,-9999,-9999,61.09,-9999,-9999,-9999,55.64
,30.06.1980,-9999,-9999,65.57,-9999,-9999,-9999,62.88
,01.07.1980,-9999,-9999,67.58,-9999,-9999,-9999,60.51
,02.07.1980,-9999,-9999,65.06,-9999,-9999,-9999,57.24
,03.07.1980,-9999,-9999,72.85,-9999,-9999,-9999,71.23
,04.07.1980,-9999,-9999,76.04,-9999,-9999,-9999,75.8
,05.07.1980,-9999,-9999,69.72,-9999,-9999,-9999,62.92
,06.07.1980,-9999,-9999,72.98,-9999,-9999,-9999,72.24
,07.07.1980,-9999,-9999,65.7,-9999,-9999,-9999,60.94
,08.07.1980,-9999,-9999,67.59,-9999,-9999,-9999,51.76
,09.07.1980,-9999,-9999,79.55,-9999,-9999,-9999,79.58
,10.07.1980,-9999,-9999,76.94,-9999,-9999,-9999,74.75
,11.07.1980,-9999,-9999,78.62,-9999,-9999,-9999,69.66
,12.07.1980,-9999,-9999,73.51,-9999,-9999,-9999,60.84
,13.07.1980,-9999,-9999,73.36,-9999,-9999,-9999,72.64
,14.07.1980,-9999,-9999,74.35,-9999,-9999,-9999,69.76
,15.07.1980,-9999,-9999,75.78,-9999,-9999,-9999,76.24
,16.07.1980,-9999,-9999,67.31,-9999,-9999,-9999,61.01
,17.07.1980,-9999,-9999,66.34,-9999,-9999,-9999,65.64
,18.07.1980,-9999,-9999,73.25,-9999,-9999,-9999,69.42
,19.07.1980,-9999,-9999,77.61,-9999,-9999,-9999,71.72
,20.07.1980,-9999,-9999,69.23,-9999,-9999,-9999,78.22
,21.07.1980,-9999,-9999,74.27,-9999,-9999,-9999,72.54
,22.07.1980,-9999,-9999,71.51,-9999,-9999,-9999,72.59
,23.07.1980,-9999,-9999,67.39,-9999,-9999,-9999,67.37
,24.07.1980,-9999,-9999,63.29,-9999,-9999,-9999,66.36
,25.07.1980,-9999,-9999,71.52,-9999,-9999,-9999,81.24
,26.07.1980,-9999,-9999,79.66,-9999,-9999,-9999,69.33
,27.07.1980,-9999,-9999,77.89,-9999,-9999,-9999,69.91
,28.07.1980,-9999,-9999,69.46,-9999,-9999,-9999,70.43
,29.07.1980,-9999,-9999,63.99,-9999,-9999,-9999,64.51
,30.07.1980,-9999,-9999,61.3,-9999,-9999,-9999,65.69
,31.07.1980,-9999,-9999,67.53,-9999,-9999,-9999,70.4
,01.08.1980,-9999,-9999,64.03,-9999,-9999,-9999,59.13
,02.08.1980,-9999,-9999,69.13,-9999,-9999,-9999,73.76
,03.08.1980,-9999,-9999,64.19,-9999,-9999,-9999,71.34
,04.08.1980,-9999,-9999,76.94,-9999,-9999,-9999,77.91
