@T,soils,,,,,,,,,,,
name,soils_hor.csv,,,,,,,,,,,
descr,soil input parameters by horizon,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,Vol.%,Vol.%,Vol.%,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,6903,20,0.41,0.137,0.054,129.864,1.56,0.87,1,0.2,0.01,10
,6904,30,0.392,0.144,0.06,97.56,1.61,0.29,1,0.24,0.01,10
,7001,56,0.478,0.315,0.173,25.704,1.38,3.2,1,0.24,3,10
,7002,30,0.42,0.292,0.16,12.984,1.54,0.58,1,0.32,3,10
,7003,66,0.414,0.295,0.164,10.368,1.55,0.15,1,0.32,3,10
,7101,18,0.43,0.28,0.147,21.192,1.51,1.28,1,0.28,2,10
,7102,134,0.406,0.277,0.146,13.752,1.57,0.15,1,0.37,4,10
,7201,18,0.43,0.28,0.147,21.192,1.51,1.28,1,0.28,2,10
,7202,134,0.406,0.277,0.146,13.752,1.57,0.15,1,0.37,4,10
,7301,18,0.43,0.28,0.147,21.192,1.51,1.28,1,0.28,2,10
,7302,134,0.406,0.277,0.146,13.752,1.57,0.15,1,0.37,4,10
,7401,18,0.43,0.28,0.147,21.192,1.51,1.28,1,0.28,2,10
,7402,134,0.406,0.277,0.146,13.752,1.57,0.15,1,0.37,4,10
,7501,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,7502,23,0.417,0.263,0.133,23.328,1.54,0.87,1,0.32,2,10
,7503,48,0.405,0.258,0.13,20.424,1.58,0.44,1,0.32,2,10
,7504,63,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,7601,18,0.435,0.27,0.137,27.84,1.5,1.57,1,0.28,2,10
,7602,23,0.417,0.263,0.133,23.328,1.54,0.87,1,0.32,2,10
,7603,48,0.405,0.258,0.13,20.424,1.58,0.44,1,0.32,2,10
,7604,63,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,7701,104,0.536,0.38,0.196,24.264,1.23,3.49,1,0.28,0.01,10
,7702,48,0.509,0.38,0.204,14.04,1.3,2.33,1,0.28,0.01,10
,7801,15,0.42,0.238,0.073,42.768,1.54,1.16,1,0.2,11,10
,7802,21,0.414,0.064,0.024,220.392,1.55,0.15,1,0.17,17,10
,7803,116,0.42,0.053,0.012,245.328,1.54,0.15,1,0.17,31,10
,7901,33,0.412,0.17,0.086,79.992,1.56,1.16,1,0.2,6,10
,7902,38,0.39,0.182,0.097,51.48,1.62,0.29,1,0.2,6,10
,7903,81,0.422,0.054,0.018,291.264,1.53,0.29,1,0.15,6,10
,8001,20,0.412,0.17,0.086,79.992,1.56,1.16,1,0.2,6,10
