@T,obs,,,,,
descr,observed runoff at Drake,,,,,
unit,m3/s  //  mg/l  //  mg/l ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,09.01.2001,,,,,
date_end,31.12.2013,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,orun[1],no3_n[1],sedim[1],no3_n[2],no3_n[3]
name,-,SF450,SF450,SF450,SF450,SF450
ID,-,1,2,3,4,5
elevation,-,289,289,289,289,289
,11.12.2008,2.803367813,9.61,-9999,-9999,-9999
,12.12.2008,2.378615114,9.6,-9999,-9999,-9999
,13.12.2008,2.435248808,9.59,-9999,-9999,-9999
,14.12.2008,2.718417274,9.58,-9999,-9999,-9999
,15.12.2008,2.775050967,9.56,-9999,-9999,-9999
,16.12.2008,2.718417274,9.55,-9999,-9999,-9999
,17.12.2008,2.633466734,9.54,-9999,-9999,-9999
,18.12.2008,2.690100427,9.53,-9999,-9999,-9999
,19.12.2008,2.83168466,9.52,-9999,-9999,-9999
,20.12.2008,2.095446648,9.5,-9999,-9999,-9999
,21.12.2008,1.897228722,9.49,-9999,-9999,-9999
,22.12.2008,1.557426563,9.48,-9999,-9999,-9999
,23.12.2008,2.9166352,9.47,-9999,-9999,-9999
,24.12.2008,3.199803666,9.46,-9999,-9999,-9999
,25.12.2008,3.426338439,9.44,-9999,-9999,-9999
,26.12.2008,3.624556365,9.43,-9999,-9999,-9999
,27.12.2008,5.181982928,9.42,-9999,-9999,-9999
,28.12.2008,7.985350741,9.41,-9999,-9999,-9999
,29.12.2008,9.004757219,9.4,-9999,-9999,-9999
,30.12.2008,7.022577957,9.38,-9999,-9999,-9999
,31.12.2008,5.66336932,9.37,-9999,-9999,-9999
,01.01.2009,6.512874718,9.36,-9999,-9999,-9999
,02.01.2009,6.371290485,9.35,-9999,-9999,-9999
,03.01.2009,5.691686167,9.34,-9999,-9999,-9999
,04.01.2009,5.465151394,9.32,-9999,-9999,-9999
,05.01.2009,4.813863922,9.31,-9999,-9999,-9999
,06.01.2009,5.040398695,9.28,-9999,9.3,-9999
,07.01.2009,4.927131308,9.11,-9999,-9999,-9999
,08.01.2009,4.474061763,8.92,-9999,-9999,-9999
,09.01.2009,4.389111223,8.72,-9999,-9999,-9999
,10.01.2009,4.474061763,8.53,-9999,-9999,-9999
,11.01.2009,4.275843837,8.33,-9999,-9999,-9999
,12.01.2009,4.360794376,8.14,-9999,-9999,-9999
,13.01.2009,4.105942757,7.95,-9999,-9999,-9999
